"International travellers entering or returning to Canada, by type of transportation and traveller type 1"
"Canadian-resident visitors returning to Canada 8","4,479,356","1,636,190","2,843,166","4,093,456","1,546,823","2,546,633","5,454,152","2,003,464","3,450,688","5,082,887","1,894,402","3,188,485","4,850,987","2,133,717","2,717,270","4,320,313","2,040,788","2,279,525","5,175,972","2,132,595","3,043,377","5,747,758","2,216,342","3,531,416","4,497,527","1,889,871","2,607,656","4,323,663","1,896,556","2,427,107","4,029,660","1,679,007","2,350,653","4,284,283","1,829,971","2,454,312","4,356,374","1,586,545","2,769,829","4,001,703","1,505,088","2,496,615","5,450,366","1,990,343","3,460,023","4,983,182","1,958,111","3,025,071","4,714,952","2,043,702","2,671,250","4,271,769","1,978,577","2,293,192","5,179,202","2,230,614","2,948,588","5,885,884","2,331,372","3,554,512","4,512,688","1,922,684","2,590,004","4,294,765","1,915,920","2,378,845","4,129,734","1,784,230","2,345,504","4,376,787","1,846,609","2,530,178","4,430,895","1,567,128","2,863,767","4,289,711","1,622,425","2,667,286","3,258,227","889,386","2,368,841","181,085","109,848","71,237","195,637","139,634","56,003","246,682","170,800","75,882","287,015","180,503","106,512","344,846","189,475","155,371","324,815","195,464","129,351","341,256","204,827","136,429","325,853","178,781","147,072","379,325","186,151","193,174","425,521","172,953","252,568","295,857","164,157","131,700","305,700","206,146","99,554","338,383","201,057","137,326","363,228","216,754","146,474","372,046","225,725","146,321","535,100","230,153","304,947","847,856","241,471","606,385","788,341","237,978","550,363","858,223","247,873","610,350","1,152,740","288,457","864,283","1,622,506","518,736","1,103,770","1,153,819","260,596","893,223","1,072,656","260,834","811,822","2,022,744","396,530","1,626,214","2,791,612","842,080","1,949,532","2,860,928","961,088","1,899,840","2,557,706","991,632","1,566,074","3,311,164","1,131,872","2,179,292","3,733,954","1,191,446","2,542,508","2,993,624","1,046,087","1,947,537","3,269,156","1,236,657","2,032,499","3,084,509","1,108,099","1,976,410","3,083,227","1,109,173","1,974,054"
"Canadian residents returning from the United States of America 4 5","3,206,391","1,636,190","1,570,201","2,984,793","1,546,823","1,437,970","4,066,474","2,003,464","2,063,010","3,893,105","1,894,402","1,998,703","3,929,861","2,133,717","1,796,144","3,568,775","2,040,788","1,527,987","4,298,575","2,132,595","2,165,980","4,674,799","2,216,342","2,458,457","3,629,642","1,889,871","1,739,771","3,551,483","1,896,556","1,654,927","3,241,304","1,679,007","1,562,297","3,329,676","1,829,971","1,499,705","3,035,434","1,586,545","1,448,889","2,836,843","1,505,088","1,331,755","4,004,204","1,990,343","2,013,861","3,816,335","1,958,111","1,858,224","3,743,616","2,043,702","1,699,914","3,491,187","1,978,577","1,512,610","4,310,150","2,230,614","2,079,536","4,766,463","2,331,372","2,435,091","3,634,855","1,922,684","1,712,171","3,504,393","1,915,920","1,588,473","3,286,910","1,784,230","1,502,680","3,383,473","1,846,609","1,536,864","3,069,835","1,567,128","1,502,707","3,073,031","1,622,425","1,450,606","2,237,531","889,386","1,348,145","151,775","109,848","41,927","169,316","139,634","29,682","210,824","170,800","40,024","233,672","180,503","53,169","254,258","189,475","64,783","250,399","195,464","54,935","268,993","204,827","64,166","252,607","178,781","73,826","271,069","186,151","84,918","264,999","172,953","92,046","216,261","164,157","52,104","256,854","206,146","50,708","283,318","201,057","82,261","311,849","216,754","95,095","310,858","225,725","85,133","393,797","230,153","163,644","506,130","241,471","264,659","474,741","237,978","236,763","556,775","247,873","308,902","785,838","288,457","497,381","1,119,062","518,736","600,326","690,166","253,958","436,208","686,331","255,626","430,705","1,337,777","389,978","947,799","2,082,892","835,497","1,247,395","2,208,563","954,438","1,254,125","1,986,034","983,878","1,002,156","2,590,353","1,123,005","1,467,348","2,981,103","1,186,703","1,794,400","2,454,950","1,042,322","1,412,628","2,779,021","1,232,957","1,546,064","2,576,314","1,103,827","1,472,487","2,468,779","1,097,867","1,370,912"
"Canadian residents returning from the United States of America, air 5","872,392","5,277","867,115","852,060","5,138","846,922","1,039,645","6,342","1,033,303","956,969","4,690","952,279","774,033","4,002","770,031","616,354","3,330","613,024","652,977","4,956","648,021","736,841","5,571","731,270","687,699","5,250","682,449","798,215","913","797,302","838,853","861","837,992","808,470","850","807,620","904,756","113,369","791,387","905,637","110,419","795,218","1,138,388","135,675","1,002,713","985,940","115,726","870,214","805,734","77,551","728,183","638,538","52,698","585,840","662,300","62,771","599,529","739,182","65,865","673,317","707,125","59,766","647,359","815,519","78,043","737,476","882,499","80,692","801,807","853,109","72,918","780,191","936,866","89,701","847,165","928,622","85,105","843,517","699,131","66,859","632,272","10,969","2,382","8,587","9,573","1,772","7,801","16,163","2,253","13,910","26,156","2,476","23,680","36,544","5,163","31,381","32,322","3,294","29,028","42,222","6,515","35,707","54,473","7,939","46,534","62,463","7,792","54,671","72,649","9,137","63,512","32,198","4,287","27,911","18,870","3,388","15,482","23,586","4,372","19,214","28,189","5,875","22,314","25,263","3,514","21,749","93,199","5,389","87,810","170,043","6,678","163,365","175,704","6,891","168,813","253,509","10,042","243,467","324,867","11,020","313,847","335,437","11,828","323,609","261,143","11,022","250,121","276,540","9,473","267,067","549,331","14,869","534,462","611,533","16,135","595,398","593,245","15,708","577,537","448,483","16,463","432,020","503,589","16,642","486,947","685,025","17,326","667,699","720,137","17,693","702,444","867,635","19,493","848,142","947,892","24,466","923,426","924,034","35,385","888,649"
"Canadian residents returning from the United States of America, land 4 6","2,333,912","1,630,913","702,999","2,132,580","1,541,685","590,895","3,026,524","1,997,118","1,029,406","2,929,605","1,889,393","1,040,212","3,127,170","2,128,426","998,744","2,933,618","2,035,659","897,959","3,616,981","2,127,632","1,489,349","3,901,715","2,210,764","1,690,951","2,909,266","1,884,618","1,024,648","2,742,215","1,895,643","846,572","2,402,231","1,678,146","724,085","2,521,169","1,829,121","692,048","2,130,547","1,473,128","657,419","1,931,112","1,394,630","536,482","2,863,431","1,854,570","1,008,861","2,827,799","1,842,143","985,656","2,905,090","1,965,330","939,760","2,832,834","1,923,757","909,077","3,618,927","2,162,009","1,456,918","3,990,837","2,256,347","1,734,490","2,886,559","1,859,401","1,027,158","2,678,978","1,837,040","841,938","2,401,886","1,703,413","698,473","2,530,244","1,773,650","756,594","2,132,891","1,477,393","655,498","2,144,269","1,537,269","607,000","1,538,185","822,407","715,778","140,775","107,454","33,321","159,648","137,819","21,829","194,451","168,454","25,997","207,192","177,825","29,367","217,375","184,075","33,300","217,801","191,988","25,813","226,634","198,224","28,410","198,069","170,780","27,289","208,552","178,321","30,231","192,318","163,785","28,533","184,000","159,823","24,177","237,884","202,704","35,180","259,592","196,608","62,984","283,359","210,707","72,652","285,139","221,963","63,176","300,171","224,523","75,648","335,714","234,691","101,023","298,613","231,025","67,588","303,044","237,691","65,353","460,839","277,375","183,464","783,556","506,869","276,687","428,880","242,924","185,956","409,574","246,135","163,439","788,127","375,064","413,063","1,461,269","814,715","646,554","1,592,223","926,163","666,060","1,518,271","955,837","562,434","2,049,906","1,084,152","965,754","2,253,542","1,143,914","1,109,628","1,697,525","1,001,452","696,073","1,888,710","1,200,942","687,768","1,619,412","1,074,075","545,337","1,539,215","1,060,155","479,060"
"Canadian residents returning from the United States of America, water 6","87","0","87","153","0","153","305","4","301","6,531","319","6,212","28,658","1,289","27,369","18,803","1,799","17,004","28,617","7","28,610","36,243","7","36,236","32,677","3","32,674","11,053","0","11,053","220","0","220","37","0","37","131","48","83","94","39","55","2,385","98","2,287","2,596","242","2,354","32,792","821","31,971","19,815","2,122","17,693","28,923","5,834","23,089","36,444","9,160","27,284","41,171","3,517","37,654","9,896","837","9,059","2,525","125","2,400","120","41","79","78","34","44","140","51","89","215","120","95","31","12","19","95","43","52","210","93","117","324","202","122","339","237","102","276","182","94","137","88","49","65","62","3","54","38","16","32","31","1","63","47","16","100","54","46","140","77","63","301","172","129","456","248","208","427","241","186","373","102","271","424","62","362","222","140","82","132","62","70","69","39","30","143","12","131","217","18","199","319","45","274","10,090","4,647","5,443","23,095","12,567","10,528","19,280","11,578","7,702","36,858","22,211","14,647","42,536","25,463","17,073","37,288","23,177","14,111","22,676","12,522","10,154","9,010","5,286","3,724","5,530","2,327","3,203"
"Canadian residents returning from countries other than the United States of America 4 5","1,272,965","0","1,272,965","1,108,663","0","1,108,663","1,387,678","0","1,387,678","1,189,782","0","1,189,782","921,126","0","921,126","751,538","0","751,538","877,397","0","877,397","1,072,959","0","1,072,959","867,885","0","867,885","772,180","0","772,180","788,356","0","788,356","954,607","0","954,607","1,320,940","0","1,320,940","1,164,860","0","1,164,860","1,446,162","0","1,446,162","1,166,847","0","1,166,847","971,336","0","971,336","780,582","0","780,582","869,052","0","869,052","1,119,421","0","1,119,421","877,833","0","877,833","790,372","0","790,372","842,824","0","842,824","993,314","0","993,314","1,361,060","0","1,361,060","1,216,680","0","1,216,680","1,020,696","0","1,020,696","29,310","0","29,310","26,321","0","26,321","35,858","0","35,858","53,343","0","53,343","90,588","0","90,588","74,416","0","74,416","72,263","0","72,263","73,246","0","73,246","108,256","0","108,256","160,522","0","160,522","79,596","0","79,596","48,846","0","48,846","55,065","0","55,065","51,379","0","51,379","61,188","0","61,188","141,303","0","141,303","341,726","0","341,726","313,600","0","313,600","301,448","0","301,448","366,902","0","366,902","503,444","0","503,444","463,653","6,638","457,015","386,325","5,208","381,117","684,967","6,552","678,415","708,720","6,583","702,137","652,365","6,650","645,715","571,672","7,754","563,918","720,811","8,867","711,944","752,851","4,743","748,108","538,674","3,765","534,909","490,135","3,700","486,435","508,195","4,272","503,923","614,448","11,306","603,142"
"Canadian residents returning from countries other than the United States of America, air 5","1,272,541","0","1,272,541","1,108,340","0","1,108,340","1,387,211","0","1,387,211","1,189,529","0","1,189,529","919,877","0","919,877","750,912","0","750,912","875,141","0","875,141","1,070,515","0","1,070,515","866,247","0","866,247","771,706","0","771,706","788,333","0","788,333","954,587","0","954,587","1,320,923","0","1,320,923","1,164,857","0","1,164,857","1,446,125","0","1,446,125","1,166,788","0","1,166,788","970,384","0","970,384","779,726","0","779,726","866,473","0","866,473","1,116,906","0","1,116,906","876,048","0","876,048","789,802","0","789,802","842,797","0","842,797","993,236","0","993,236","1,361,044","0","1,361,044","1,216,680","0","1,216,680","1,020,663","0","1,020,663","29,301","0","29,301","26,321","0","26,321","35,851","0","35,851","53,342","0","53,342","90,586","0","90,586","74,415","0","74,415","72,262","0","72,262","73,244","0","73,244","108,252","0","108,252","160,521","0","160,521","79,596","0","79,596","48,843","0","48,843","55,064","0","55,064","51,379","0","51,379","61,184","0","61,184","141,303","0","141,303","341,699","0","341,699","313,550","0","313,550","301,399","0","301,399","366,881","0","366,881","503,416","0","503,416","463,545","6,629","456,916","386,253","5,205","381,048","684,814","6,531","678,283","707,603","6,098","701,505","651,698","6,605","645,093","570,037","7,045","562,992","718,029","8,435","709,594","748,823","3,947","744,876","536,684","3,316","533,368","489,263","3,477","485,786","507,592","4,204","503,388","613,029","11,241","601,788"
"Canadian residents returning from countries other than the United States of America, land 4 6","420","0","420","310","0","310","463","0","463","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","9","98","68","3","65","140","21","119","241","30","211","333","44","289","297","49","248","726","74","652","1,051","81","970","672","63","609","558","74","484","570","68","502","1,354","61","1,293"
"Canadian residents returning from countries other than the United States of America, water 6","4","0","4","13","0","13","4","0","4","253","0","253","1,249","0","1,249","626","0","626","2,256","0","2,256","2,444","0","2,444","1,638","0","1,638","474","0","474","23","0","23","20","0","20","17","0","17","3","0","3","37","0","37","59","0","59","952","0","952","856","0","856","2,579","0","2,579","2,515","0","2,515","1,785","0","1,785","570","0","570","27","0","27","78","0","78","16","0","16","0","0","0","33","0","33","9","0","9","0","0","0","7","0","7","1","0","1","2","0","2","1","0","1","1","0","1","2","0","2","4","0","4","1","0","1","0","0","0","3","0","3","1","0","1","0","0","0","4","0","4","0","0","0","27","0","27","50","0","50","49","0","49","21","0","21","28","0","28","1","0","1","4","0","4","13","0","13","876","455","421","334","1","333","1,338","660","678","2,056","358","1,698","2,977","715","2,262","1,318","386","932","314","149","165","33","0","33","65","4","61"
"Other travellers entering or returning to Canada 5 8 9","643,030","...","...","607,513","...","...","705,054","...","...","697,375","...","...","764,886","...","...","798,442","...","...","762,133","...","...","815,830","...","...","770,837","...","...","721,663","...","...","625,261","...","...","568,018","...","...","611,415","...","...","570,783","...","...","663,051","...","...","646,382","...","...","764,968","...","...","759,622","...","...","759,558","...","...","783,198","...","...","766,474","...","...","709,810","...","...","614,248","...","...","573,342","...","...","605,009","...","...","586,993","...","...","580,994","...","...","365,280","...","...","396,618","...","...","490,503","...","...","515,556","...","...","526,353","...","...","537,878","...","...","558,060","...","...","508,828","...","...","512,534","...","...","500,933","...","...","477,780","...","...","572,962","...","...","529,997","...","...","523,878","...","...","561,327","...","...","545,907","...","...","559,580","...","...","566,488","...","...","594,441","...","...","583,167","...","...","582,185","...","...","598,157","...","...","530,727","...","...","676,636","...","...","695,610","...","...","775,405","...","...","803,655","...","...","798,333","...","...","939,833","...","...","900,119","...","...","750,643","...","...","663,036","...","...","690,622","...","..."
"Crew entering or returning to Canada 4 7","591,511","...","...","569,864","...","...","658,286","...","...","644,022","...","...","728,582","...","...","745,837","...","...","708,950","...","...","762,543","...","...","724,195","...","...","684,136","...","...","600,118","...","...","543,299","...","...","582,048","...","...","546,134","...","...","631,859","...","...","613,594","...","...","730,768","...","...","724,544","...","...","724,679","...","...","747,559","...","...","731,045","...","...","677,695","...","...","587,583","...","...","547,611","...","...","578,548","...","...","561,690","...","...","562,728","...","...","362,330","...","...","392,887","...","...","484,170","...","...","504,346","...","...","516,018","...","...","529,039","...","...","550,799","...","...","501,745","...","...","503,798","...","...","491,956","...","...","468,195","...","...","564,708","...","...","522,218","...","...","516,165","...","...","552,717","...","...","533,012","...","...","547,163","...","...","550,423","...","...","577,981","...","...","568,278","...","...","563,343","...","...","500,680","...","...","476,763","...","...","612,149","...","...","603,538","...","...","679,988","...","...","713,386","...","...","697,374","...","...","737,690","...","...","733,015","...","...","657,220","...","...","581,922","...","...","540,605","...","..."
"Crew, United States of America residents entering Canada 4","111,932","...","...","109,262","...","...","119,293","...","...","116,070","...","...","124,076","...","...","123,842","...","...","118,231","...","...","127,023","...","...","112,407","...","...","118,756","...","...","104,480","...","...","94,098","...","...","102,709","...","...","96,130","...","...","109,691","...","...","105,027","...","...","118,185","...","...","112,848","...","...","110,625","...","...","113,910","...","...","108,064","...","...","107,538","...","...","96,836","...","...","92,266","...","...","96,589","...","...","95,129","...","...","94,178","...","...","57,743","...","...","59,880","...","...","75,874","...","...","76,047","...","...","78,339","...","...","78,247","...","...","78,851","...","...","71,564","...","...","72,966","...","...","72,474","...","...","66,619","...","...","81,892","...","...","69,970","...","...","68,602","...","...","74,989","...","...","68,814","...","...","73,050","...","...","70,929","...","...","77,046","...","...","73,065","...","...","72,675","...","...","55,274","...","...","52,286","...","...","66,654","...","...","63,201","...","...","69,653","...","...","72,064","...","...","67,297","...","...","73,655","...","...","71,387","...","...","68,261","...","...","63,367","...","...","59,765","...","..."
"Crew, residents of countries other than the United States of America entering Canada 4 7","32,321","...","...","28,294","...","...","33,984","...","...","47,106","...","...","102,871","...","...","134,813","...","...","131,801","...","...","136,232","...","...","155,773","...","...","73,791","...","...","31,197","...","...","33,930","...","...","32,405","...","...","28,613","...","...","34,962","...","...","39,894","...","...","119,966","...","...","142,790","...","...","146,885","...","...","143,161","...","...","165,558","...","...","85,848","...","...","32,451","...","...","32,981","...","...","31,315","...","...","27,283","...","...","23,385","...","...","11,800","...","...","12,470","...","...","13,275","...","...","15,730","...","...","17,426","...","...","16,661","...","...","18,314","...","...","17,144","...","...","16,481","...","...","15,417","...","...","13,759","...","...","15,249","...","...","15,374","...","...","17,102","...","...","18,573","...","...","21,568","...","...","21,196","...","...","22,518","...","...","23,733","...","...","23,756","...","...","24,455","...","...","23,171","...","...","19,026","...","...","24,773","...","...","46,663","...","...","114,503","...","...","127,595","...","...","151,814","...","...","154,696","...","...","162,163","...","...","100,077","...","...","36,110","...","...","32,980","...","..."
"Crew, Canadian residents returning to Canada 4","447,258","...","...","432,308","...","...","505,009","...","...","480,846","...","...","501,635","...","...","487,182","...","...","458,918","...","...","499,288","...","...","456,015","...","...","491,589","...","...","464,441","...","...","415,271","...","...","446,934","...","...","421,391","...","...","487,206","...","...","468,673","...","...","492,617","...","...","468,906","...","...","467,169","...","...","490,488","...","...","457,423","...","...","484,309","...","...","458,296","...","...","422,364","...","...","450,644","...","...","439,278","...","...","445,165","...","...","292,787","...","...","320,537","...","...","395,021","...","...","412,569","...","...","420,253","...","...","434,131","...","...","453,634","...","...","413,037","...","...","414,351","...","...","404,065","...","...","387,817","...","...","467,567","...","...","436,874","...","...","430,461","...","...","459,155","...","...","442,630","...","...","452,917","...","...","456,976","...","...","477,202","...","...","471,457","...","...","466,213","...","...","422,235","...","...","405,451","...","...","520,722","...","...","493,674","...","...","495,832","...","...","513,727","...","...","478,263","...","...","509,339","...","...","499,465","...","...","488,882","...","...","482,445","...","...","447,860","...","..."
"Other non-tourism related purposes 5 9 10","51,519","...","...","37,649","...","...","46,768","...","...","53,353","...","...","36,304","...","...","52,605","...","...","53,183","...","...","53,287","...","...","46,642","...","...","37,527","...","...","25,143","...","...","24,719","...","...","29,367","...","...","24,649","...","...","31,192","...","...","32,788","...","...","34,200","...","...","35,078","...","...","34,879","...","...","35,639","...","...","35,429","...","...","32,115","...","...","26,665","...","...","25,731","...","...","26,461","...","...","25,303","...","...","18,266","...","...","2,950","...","...","3,731","...","...","6,333","...","...","11,210","...","...","10,335","...","...","8,839","...","...","7,261","...","...","7,083","...","...","8,736","...","...","8,977","...","...","9,585","...","...","8,254","...","...","7,779","...","...","7,713","...","...","8,610","...","...","12,895","...","...","12,417","...","...","16,065","...","...","16,460","...","...","14,889","...","...","18,842","...","...","97,477","...","...","53,964","...","...","64,487","...","...","92,072","...","...","95,417","...","...","90,269","...","...","100,959","...","...","202,143","...","...","167,104","...","...","93,423","...","...","81,114","...","...","150,017","...","..."

Symbol legend:
..., not applicable




Footnotes:
1,"Throughout the existence of the Tourism Statistics Program, Statistics Canada introduced changes to improve the quality of its data (for example, a new data source, a new estimation method). For further information on the methodology used by Frontier Counts or the changes implemented over time, users are advised to consult the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5005" rel="external noopener noreferrer" target="_blank">Frontier Counts (opens new window)</a> pages."
2,"Prior to 2022, all residents of countries other than the United States of America entering by air or water were considered tourists (overnight visitors). As of January 2022, if these travellers are recorded as same-day, they will be published as excursionists."
3,"Prior to 2022, all Canadian residents returning from countries other than the United States of America were considered tourists (overnight visitors). As of January 2022, if these travellers are recorded as same-day, they will be published as excursionists."
4,"As of January 2022, one passenger from each bus record is considered a crew member. Prior to 2022, there were no crew from bus travellers."
5,"As of January 2022, travellers from Primary Inspection Kiosks (PIK) who declare their purpose of trip as work are classified as "other travellers" (not as visitors),  in order to align with United Nations World Tourism Organization recommendations. Prior to 2022, they were considered as visitors."
6,"As of January 2022, all ferry travellers are included in the water mode, in order to align with United Nations World Tourism Organization recommendations. Prior to 2022, most of these travellers were included in the land mode as either pedestrian or automobile travellers (the only exception was Fortune, in Newfoundland and Labrador)."
7,"Prior to 2022, crew residing in countries other than the United States of America entering by land were considered tourists (overnight visitors). As of January 2022, they are considered as crew ("other travellers")."
8,"As of January 2022, non-resident travellers with a trip duration of 365 days or more are considered as "other travellers" (not as visitors). Prior to 2022, they were reclassified as Canadian-resident visitors."
9,"Prior to 2022, land immigration data from the Immigration, Refugees and Citizenship Canada were added as “other travellers”. As of January 2022, as data from the Canada Border Services Agency already include persons immigrating to Canada by land (although they are not indicated specifically as immigrants), in order to avoid overestimating the number of arrivals in Canada, only data from CBSA is retained and those travellers are counted as visitors by default."
10,"In this table, "other non-tourism related purposes" includes work, immigration, military service, diplomats or members of consular staff."



"How to cite: Statistics Canada. Table 24-10-0053-01  International travellers entering or returning to Canada, by type of transportation and traveller type"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005301